Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
18,0.0,0.0,0.0,729.0,18.0,57.0,729.0,0.1,41.10699999999999,0.0,0.0,72.38599014282227,,,,,,,,,,,,,,,,,,,,,15.794717166402153,13.696982941764213,40.28723530488956,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0.0,0.0,0.0,782.0,19.0,53.0,782.0,0.1,28.80800000000002,0.0,0.0,77.88605117797852,,,,,,,,,,,,,,,,,,,,,9.87258596346601,9.22874011931248,28.3414074173636,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.0,0.0,0.0,814.0,20.0,32.0,814.0,0.1,11.007999999999992,0.0,0.0,81.21434426307678,,,,,,,,,,,,,,,,,,,,,2.7741481102882544,3.5288998584804947,10.941098516405072,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,1.0,0.0,0.0,43.0,1.0,43.0,857.0,0.1,22.40600000000002,0.0,0.0,212.73095226287842,,,,,,,,,,,,,,,,,,,,,7.110310784871377,7.364147478686166,22.144523538804602,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,1.0,0.0,0.0,91.0,2.0,48.0,905.0,0.1,24.70700000000002,0.0,0.0,217.5630373954773,,,,,,,,,,,,,,,,,,,,,8.805367678123979,7.979553268235557,24.332983986438947,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,1.0,0.0,0.0,149.0,3.0,58.0,963.0,0.1,41.205999999999996,0.0,0.0,223.47691011428833,,,,,,,,,,,,,,,,,,,,,15.668526614950146,13.679876988894174,40.37794096031257,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,1.0,0.0,0.0,194.0,4.0,45.0,1008.0,0.1,18.00800000000003,0.0,0.0,227.96839141845703,,,,,,,,,,,,,,,,,,,,,4.768948981545448,5.675779182404182,17.82903754187667,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,1.0,0.0,0.0,226.0,5.0,32.0,1040.0,0.1,16.606000000000016,0.0,0.0,231.3642282485962,,,,,,,,,,,,,,,,,,,,,5.303978314180409,5.677543344854001,16.469194613979575,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,1.0,0.0,0.0,270.0,6.0,44.0,1084.0,0.1,19.507000000000023,0.0,0.0,235.7314109802246,,,,,,,,,,,,,,,,,,,,,5.8522763577665105,6.1884917515157625,19.288056665532675,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,1.0,0.0,0.0,294.0,7.0,24.0,1108.0,0.1,10.604999999999995,0.0,0.0,238.17566919326782,,,,,,,,,,,,,,,,,,,,,3.1954264664785406,3.6735312588838047,10.549398011429362,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,1.0,0.0,0.0,339.0,8.0,45.0,1153.0,0.1,31.506000000000014,0.0,0.0,242.77621030807495,,,,,,,,,,,,,,,,,,,,,12.043151274978717,10.659941190033702,31.026079325197028,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,1.0,0.0,0.0,384.0,9.0,45.0,1198.0,0.1,15.10799999999999,0.0,0.0,247.2423710823059,,,,,,,,,,,,,,,,,,,,,3.9674234338129675,4.579336532001863,14.959369725559814,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,1.0,0.0,0.0,412.0,10.0,28.0,1226.0,0.1,14.905999999999995,0.0,0.0,250.2786111831665,,,,,,,,,,,,,,,,,,,,,4.91454854344891,5.189270310622372,14.797973790390424,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,1.0,0.0,0.0,447.0,11.0,35.0,1261.0,0.1,17.205000000000016,0.0,0.0,253.75267338752747,,,,,,,,,,,,,,,,,,,,,5.533371489309949,5.650326473543814,17.045405763996385,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,1.0,0.0,0.0,554.0,12.0,107.0,1368.0,0.1,44.60600000000005,0.0,0.0,264.42852997779846,,,,,,,,,,,,,,,,,,,,,13.272193320667117,13.621211130454766,43.27237679590363,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,1.0,0.0,0.0,584.0,13.0,30.0,1398.0,0.1,15.105999999999995,0.0,0.0,267.70541977882385,,,,,,,,,,,,,,,,,,,,,4.7422176221190195,5.1981720746051705,14.99370588940936,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,1.0,0.0,0.0,641.0,14.0,57.0,1455.0,0.1,43.605,0.0,0.0,273.5800688266754,,,,,,,,,,,,,,,,,,,,,17.651395806832426,14.35835118584825,42.68419614710863,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,1.0,0.0,0.0,669.0,15.0,28.0,1483.0,0.1,14.104999999999995,0.0,0.0,276.4251022338867,,,,,,,,,,,,,,,,,,,,,4.509257816060119,4.863703560705811,14.006740254919906,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,1.0,0.0,0.0,699.0,16.0,30.0,1513.0,0.1,15.106999999999994,0.0,0.0,279.4841890335083,,,,,,,,,,,,,,,,,,,,,4.657773655214323,5.255616665298523,14.997246285668623,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
