Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
77,3.0,0.0,0.0,956.0,17.0,29.0,3616.0,0.1,14.105999999999995,0.0,0.0,804.8833117485046,,,,,,,,,,,,,,,,,,,,,4.3547522924155375,4.849412470655895,14.007713603012375,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,3.0,0.0,0.0,1028.0,18.0,72.0,3688.0,0.1,46.60699999999999,0.0,0.0,812.1459009647369,,,,,,,,,,,,,,,,,,,,,20.37840592819956,15.07522711456185,45.23016988276526,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,3.0,0.0,0.0,1061.0,19.0,33.0,3721.0,0.1,14.405999999999993,0.0,0.0,815.6320998668671,,,,,,,,,,,,,,,,,,,,,4.168452978655703,4.764995005432757,14.29702079627612,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,3.0,0.0,0.0,1098.0,20.0,37.0,3758.0,0.1,13.008999999999991,0.0,0.0,819.4776086807251,,,,,,,,,,,,,,,,,,,,,3.391925395989423,4.106441525473836,12.909304459963863,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,4.0,0.0,0.0,48.0,1.0,48.0,3806.0,0.1,25.307000000000027,0.0,0.0,1032.5100021362305,,,,,,,,,,,,,,,,,,,,,7.725792232641511,8.419478362557124,24.98610920513427,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,4.0,0.0,0.0,105.0,2.0,57.0,3863.0,0.1,26.80800000000003,0.0,0.0,1038.594511270523,,,,,,,,,,,,,,,,,,,,,8.781029551653825,8.540250616823112,26.360175305992406,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,4.0,0.0,0.0,228.0,3.0,123.0,3986.0,0.1,82.10599999999988,0.0,0.0,1050.8055667877197,,,,,,,,,,,,,,,,,,,,,29.748900290102483,24.743552935199514,78.6040146896821,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,4.0,0.0,0.0,327.0,4.0,99.0,4085.0,0.1,41.00700000000004,0.0,0.0,1060.5933430194855,,,,,,,,,,,,,,,,,,,,,14.189048958047147,10.529228233021504,39.681607686919506,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,4.0,0.0,0.0,366.0,5.0,39.0,4124.0,0.1,21.80600000000002,0.0,0.0,1064.4969108104706,,,,,,,,,,,,,,,,,,,,,7.131275053647523,7.399980108847851,21.571000703313672,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,4.0,0.0,0.0,627.0,6.0,261.0,4385.0,0.1,128.00599999999991,0.0,0.0,1089.8842804431915,,,,,,,,,,,,,,,,,,,,,55.51231875909909,31.1406286518292,113.74466037997473,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,4.0,0.0,0.0,649.0,7.0,22.0,4407.0,0.1,9.104999999999995,0.0,0.0,1092.2905371189117,,,,,,,,,,,,,,,,,,,,,2.663091660712075,3.1756961976712828,9.06453198289815,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,4.0,0.0,0.0,741.0,8.0,92.0,4499.0,0.1,47.60700000000002,0.0,0.0,1101.3658094406128,,,,,,,,,,,,,,,,,,,,,21.145937544677277,13.804207893271665,45.753034060977576,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,4.0,0.0,0.0,766.0,9.0,25.0,4524.0,0.1,9.205999999999994,0.0,0.0,1103.9588763713837,,,,,,,,,,,,,,,,,,,,,2.5231181386513146,3.08282694426078,9.161235356010383,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,4.0,0.0,0.0,911.0,10.0,145.0,4669.0,0.1,81.00599999999997,0.0,0.0,1118.0562009811401,,,,,,,,,,,,,,,,,,,,,34.2425223650476,22.667866842364433,76.19314435262899,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,4.0,0.0,0.0,1103.0,11.0,192.0,4861.0,0.1,133.30499999999992,0.0,0.0,1137.0444214344025,,,,,,,,,,,,,,,,,,,,,58.84305446808336,37.93553141576026,122.2515143192522,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,4.0,0.0,0.0,1243.0,12.0,140.0,5001.0,0.1,68.50900000000004,0.0,0.0,1150.5830957889557,,,,,,,,,,,,,,,,,,,,,27.12673516704708,18.899493718295158,64.84087398370684,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,4.0,0.0,0.0,1427.0,13.0,184.0,5185.0,0.1,108.00699999999995,0.0,0.0,1168.734302520752,,,,,,,,,,,,,,,,,,,,,47.19021585391291,32.173377360758245,99.52294665323988,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,4.0,0.0,0.0,1464.0,14.0,37.0,5222.0,0.1,20.80600000000002,0.0,0.0,1172.650405406952,,,,,,,,,,,,,,,,,,,,,6.819950965632556,7.132411354690999,20.594830881203123,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,4.0,0.0,0.0,1497.0,15.0,33.0,5255.0,0.1,13.806999999999993,0.0,0.0,1176.1562309265137,,,,,,,,,,,,,,,,,,,,,3.9226614277240714,4.539989702278475,13.704948364666075,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,4.0,0.0,0.0,1553.0,16.0,56.0,5311.0,0.1,30.507000000000023,0.0,0.0,1181.6191947460175,,,,,,,,,,,,,,,,,,,,,9.886205846707137,9.803815029977542,30.013369197610427,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,4.0,0.0,0.0,1596.0,17.0,43.0,5354.0,0.1,24.106000000000016,0.0,0.0,1186.097448348999,,,,,,,,,,,,,,,,,,,,,8.758795111220179,7.855166717165473,23.776901836989683,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,4.0,0.0,0.0,1982.0,18.0,386.0,5740.0,0.1,253.90599999999986,0.0,0.0,1223.7286899089813,,,,,,,,,,,,,,,,,,,,,104.89674054458067,67.70166103886743,213.84333096839762,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,4.0,0.0,0.0,2049.0,19.0,67.0,5807.0,0.1,31.911000000000033,0.0,0.0,1230.624704360962,,,,,,,,,,,,,,,,,,,,,9.36449057998755,9.981091012605027,31.34624026543143,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,4.0,0.0,0.0,2106.0,20.0,57.0,5864.0,0.1,28.011000000000028,0.0,0.0,1236.5579588413239,,,,,,,,,,,,,,,,,,,,,8.997870608241588,9.103610063069516,27.553200222575157,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,5.0,0.0,0.0,230.0,1.0,230.0,6094.0,0.1,164.20999999999992,0.0,0.0,1601.8647410869598,,,,,,,,,,,,,,,,,,,,,68.73601945511966,45.88907749907949,148.69796275286546,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,5.0,0.0,0.0,425.0,2.0,195.0,6289.0,0.1,147.908,0.0,0.0,1621.0001752376556,,,,,,,,,,,,,,,,,,,,,67.12784023644589,44.275852919366294,135.08811229036164,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,5.0,0.0,0.0,715.0,3.0,290.0,6579.0,0.1,210.10599999999988,0.0,0.0,1648.9991054534912,,,,,,,,,,,,,,,,,,,,,87.38305253932295,54.64064203808669,185.13499962785244,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,5.0,0.0,0.0,773.0,4.0,58.0,6637.0,0.1,29.00800000000003,0.0,0.0,1654.844966173172,,,,,,,,,,,,,,,,,,,,,8.614708589375363,9.318782390521825,28.565449234836667,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,5.0,0.0,0.0,863.0,5.0,90.0,6727.0,0.1,51.80999999999999,0.0,0.0,1663.8503506183624,,,,,,,,,,,,,,,,,,,,,19.11656883422846,15.409896340113068,50.18983829166448,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,5.0,0.0,0.0,905.0,6.0,42.0,6769.0,0.1,27.106000000000016,0.0,0.0,1668.0573861598969,,,,,,,,,,,,,,,,,,,,,9.77342875089648,9.234810038990902,26.74898721791096,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,5.0,0.0,0.0,942.0,7.0,37.0,6806.0,0.1,17.00600000000002,0.0,0.0,1671.8415620326996,,,,,,,,,,,,,,,,,,,,,5.011258175828104,5.595600831652469,16.854275143506232,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,5.0,0.0,0.0,1004.0,8.0,62.0,6868.0,0.1,31.708000000000027,0.0,0.0,1678.2673289775848,,,,,,,,,,,,,,,,,,,,,9.942117118677242,9.983410276726271,31.153865315407508,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,5.0,0.0,0.0,1036.0,9.0,32.0,6900.0,0.1,12.806999999999993,0.0,0.0,1681.6467385292053,,,,,,,,,,,,,,,,,,,,,3.5861432405810296,4.192873875562123,12.71766603069677,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,5.0,0.0,0.0,1253.0,10.0,217.0,7117.0,0.1,130.50599999999986,0.0,0.0,1703.2325794696808,,,,,,,,,,,,,,,,,,,,,56.4340095420672,39.549372826032545,118.49669482232133,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,5.0,0.0,0.0,1355.0,11.0,102.0,7219.0,0.1,47.006000000000036,0.0,0.0,1713.3127856254578,,,,,,,,,,,,,,,,,,,,,18.434630670581637,12.022976622683675,45.216054564675474,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,5.0,0.0,0.0,1460.0,12.0,105.0,7324.0,0.1,50.806000000000026,0.0,0.0,1723.5929803848267,,,,,,,,,,,,,,,,,,,,,20.8215538137882,14.07515175008704,48.71712237718424,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,5.0,0.0,0.0,1818.0,13.0,358.0,7682.0,0.1,282.50599999999986,0.0,0.0,1758.0140335559845,,,,,,,,,,,,,,,,,,,,,127.12317725705341,69.04728481362905,237.47060628393658,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,5.0,0.0,0.0,1851.0,14.0,33.0,7715.0,0.1,19.006000000000014,0.0,0.0,1761.3443174362183,,,,,,,,,,,,,,,,,,,,,6.461921507196696,6.5639438318693895,18.830398556977915,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,5.0,0.0,0.0,2018.0,15.0,167.0,7882.0,0.1,114.60499999999999,0.0,0.0,1777.484516620636,,,,,,,,,,,,,,,,,,,,,48.89737245146587,31.20472529603365,106.65233682191229,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,5.0,0.0,0.0,2119.0,16.0,101.0,7983.0,0.1,68.10600000000002,0.0,0.0,1787.5149276256561,,,,,,,,,,,,,,,,,,,,,29.628812379643215,19.204046098629828,65.24391253080512,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,5.0,0.0,0.0,2215.0,17.0,96.0,8079.0,0.1,51.206000000000024,0.0,0.0,1796.7581470012665,,,,,,,,,,,,,,,,,,,,,19.484778163529107,15.007999029108456,49.434280422866514,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,5.0,0.0,0.0,2503.0,18.0,288.0,8367.0,0.1,208.007,0.0,0.0,1824.3815495967865,,,,,,,,,,,,,,,,,,,,,93.3560328136353,55.96570284078089,181.48324756154867,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,5.0,0.0,0.0,2544.0,19.0,41.0,8408.0,0.1,19.40700000000002,0.0,0.0,1828.459039926529,,,,,,,,,,,,,,,,,,,,,5.837828354313199,6.328189144311707,19.20604191526177,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,5.0,0.0,0.0,2748.0,20.0,204.0,8612.0,0.1,129.10799999999992,0.0,0.0,1848.3602812290192,,,,,,,,,,,,,,,,,,,,,57.466564728943254,39.94842884545714,117.61994306147558,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
